date,MKPRU
16-Aug-2010,0.0769
18-Aug-2010,0.0688
19-Aug-2010,0.0667
20-Aug-2010,0.07
21-Aug-2010,0.0664
22-Aug-2010,0.066
23-Aug-2010,0.07
24-Aug-2010,0.0665
25-Aug-2010,0.0665
26-Aug-2010,0.07
27-Aug-2010,0.065
28-Aug-2010,0.0648
29-Aug-2010,0.06
30-Aug-2010,0.065
31-Aug-2010,0.0649
01-Sep-2010,0.06
02-Sep-2010,0.0634
03-Sep-2010,0.0613
04-Sep-2010,0.06
05-Sep-2010,0.064
06-Sep-2010,0.0618
07-Sep-2010,0.06
08-Sep-2010,0.0624
09-Sep-2010,0.062
10-Sep-2010,0.06
11-Sep-2010,0.065
12-Sep-2010,0.062
13-Sep-2010,0.06
14-Sep-2010,0.175
15-Sep-2010,0.0619
16-Sep-2010,0.15
17-Sep-2010,0.0609
18-Sep-2010,0.0626
19-Sep-2010,0.06
20-Sep-2010,0.0633
21-Sep-2010,0.0628
22-Sep-2010,0.06
23-Sep-2010,0.0628
24-Sep-2010,0.0624
25-Sep-2010,0.06
26-Sep-2010,0.0622
27-Sep-2010,0.0627
28-Sep-2010,0.06
29-Sep-2010,0.0619
30-Sep-2010,0.062
01-Oct-2010,0.06
02-Oct-2010,0.0614
03-Oct-2010,0.062
04-Oct-2010,0.06
05-Oct-2010,0.0633
06-Oct-2010,0.0638
07-Oct-2010,0.06
08-Oct-2010,0.12
09-Oct-2010,0.12
10-Oct-2010,0.12
11-Oct-2010,0.099
12-Oct-2010,0.095
13-Oct-2010,0.1
14-Oct-2010,0.119
15-Oct-2010,0.109
16-Oct-2010,0.12
17-Oct-2010,0.103
18-Oct-2010,0.1024
19-Oct-2010,0.1
20-Oct-2010,0.109
21-Oct-2010,0.107
22-Oct-2010,0.11
23-Oct-2010,0.19
24-Oct-2010,0.15
25-Oct-2010,0.18
26-Oct-2010,0.19
27-Oct-2010,0.19
28-Oct-2010,0.19
29-Oct-2010,0.1919
30-Oct-2010,0.199
31-Oct-2010,0.19
01-Nov-2010,0.1955
02-Nov-2010,0.275
03-Nov-2010,0.21
04-Nov-2010,0.2399
05-Nov-2010,0.29
06-Nov-2010,0.25
07-Nov-2010,0.37
